Angle_deg,Level_linear,Level_dB
41.000,0.64847145,-3.7622
42.000,0.63570894,-3.9348
43.000,0.62295969,-4.1108
44.000,0.61023409,-4.2901
45.000,0.59754215,-4.4726
46.000,0.58489352,-4.6585
47.000,0.57229752,-4.8476
48.000,0.55976317,-5.0399
49.000,0.54729921,-5.2355
50.000,0.53491412,-5.4343
51.000,0.52261611,-5.6363
52.000,0.51041315,-5.8416
53.000,0.49831298,-6.0500
54.000,0.48632309,-6.2615
55.000,0.47445072,-6.4762
56.000,0.46270284,-6.6940
57.000,0.45108618,-6.9148
58.000,0.43960716,-7.1387
59.000,0.42827189,-7.3656
60.000,0.41708616,-7.5955
61.000,0.40605542,-7.8283
62.000,0.39518473,-8.0640
63.000,0.38447876,-8.3026
64.000,0.37394175,-8.5439
65.000,0.36357749,-8.7881
66.000,0.35338933,-9.0349
67.000,0.34338012,-9.2845
68.000,0.33355222,-9.5367
69.000,0.32390748,-9.7916
70.000,0.31444725,-10.0490
71.000,0.30517234,-10.3091
72.000,0.29608309,-10.5717
73.000,0.28717929,-10.8369
74.000,0.27846027,-11.1047
75.000,0.26992487,-11.3751
76.000,0.26157148,-11.6482
77.000,0.25339808,-11.9239
78.000,0.24540225,-12.2024
79.000,0.23758119,-12.4838
80.000,0.22993182,-12.7680
81.000,0.22245076,-13.0553
82.000,0.21513441,-13.3458
83.000,0.20797899,-13.6396
84.000,0.20098059,-13.9369
85.000,0.19413523,-14.2379
86.000,0.18743888,-14.5428
87.000,0.18088758,-14.8518
88.000,0.17447743,-15.1652
89.000,0.16820469,-15.4832
90.000,0.16206580,-15.8062
