Angle_deg,Level_linear,Level_dB
-90.000,0.15972948,-15.9323
-89.000,0.16589582,-15.6033
-88.000,0.17220031,-15.2793
-87.000,0.17864524,-14.9602
-86.000,0.18523324,-14.6456
-85.000,0.19196724,-14.3355
-84.000,0.19885044,-14.0295
-83.000,0.20588619,-13.7275
-82.000,0.21307803,-13.4292
-81.000,0.22042955,-13.1346
-80.000,0.22794437,-12.8434
-79.000,0.23562610,-12.5555
-78.000,0.24347824,-12.2708
-77.000,0.25150419,-11.9891
-76.000,0.25970712,-11.7103
-75.000,0.26809000,-11.4344
-74.000,0.27665550,-11.1612
-73.000,0.28540596,-10.8907
-72.000,0.29434332,-10.6229
-71.000,0.30346915,-10.3577
-70.000,0.31278454,-10.0951
-69.000,0.32229009,-9.8351
-68.000,0.33198591,-9.5776
-67.000,0.34187154,-9.3227
-66.000,0.35194600,-9.0705
-65.000,0.36220772,-8.8208
-64.000,0.37265454,-8.5739
-63.000,0.38328372,-8.3296
-62.000,0.39409192,-8.0880
-61.000,0.40507524,-7.8493
-60.000,0.41622915,-7.6134
-59.000,0.42754860,-7.3803
-58.000,0.43902796,-7.1502
-57.000,0.45066106,-6.9230
-56.000,0.46244121,-6.6989
-55.000,0.47436123,-6.4778
-54.000,0.48641347,-6.2599
-53.000,0.49858983,-6.0451
-52.000,0.51088178,-5.8336
-51.000,0.52328039,-5.6253
-50.000,0.53577637,-5.4203
-49.000,0.54836005,-5.2187
-48.000,0.56102147,-5.0204
-47.000,0.57375031,-4.8255
-46.000,0.58653600,-4.6341
-45.000,0.59936766,-4.4461
-44.000,0.61223413,-4.2616
-43.000,0.62512403,-4.0807
-42.000,0.63802566,-3.9032
-41.000,0.65092711,-3.7294
-40.000,0.66381618,-3.5590
-39.000,0.67668041,-3.3923
-38.000,0.68950708,-3.2292
-37.000,0.70228318,-3.0698
-36.000,0.71499540,-2.9139
-35.000,0.72763015,-2.7618
-34.000,0.74017353,-2.6133
-33.000,0.75261131,-2.4686
-32.000,0.76492896,-2.3276
-31.000,0.77711160,-2.1903
-30.000,0.78914404,-2.0569
-29.000,0.80101077,-1.9272
-28.000,0.81269596,-1.8014
-27.000,0.82418350,-1.6795
-26.000,0.83545699,-1.5615
-25.000,0.84649977,-1.4475
-24.000,0.85729497,-1.3374
-23.000,0.86782554,-1.2314
-22.000,0.87807429,-1.1294
-21.000,0.88802394,-1.0315
-20.000,0.89765718,-0.9378
-19.000,0.90695674,-0.8483
-18.000,0.91590544,-0.7630
-17.000,0.92448626,-0.6820
-16.000,0.93268244,-0.6053
-15.000,0.94047753,-0.5330
-14.000,0.94785549,-0.4652
-13.000,0.95480076,-0.4017
-12.000,0.96129833,-0.3428
-11.000,0.96733387,-0.2885
-10.000,0.97289373,-0.2387
-9.000,0.97796511,-0.1935
-8.000,0.98253605,-0.1530
-7.000,0.98659558,-0.1172
-6.000,0.99013374,-0.0861
-5.000,0.99314166,-0.0598
-4.000,0.99561159,-0.0382
-3.000,0.99753703,-0.0214
-2.000,0.99891269,-0.0094
-1.000,0.99973457,-0.0023
0.000,1.00000000,0.0000
1.000,0.99970765,-0.0025
2.000,0.99885755,-0.0099
3.000,0.99745110,-0.0222
4.000,0.99549108,-0.0393
5.000,0.99298163,-0.0612
6.000,0.98992823,-0.0879
7.000,0.98633770,-0.1195
8.000,0.98221813,-0.1558
9.000,0.97757889,-0.1970
10.000,0.97243054,-0.2428
11.000,0.96678476,-0.2934
12.000,0.96065435,-0.3487
13.000,0.95405310,-0.4085
14.000,0.94699573,-0.4730
15.000,0.93949784,-0.5421
16.000,0.93157576,-0.6156
17.000,0.92324652,-0.6936
18.000,0.91452773,-0.7761
19.000,0.90543746,-0.8628
20.000,0.89599420,-0.9539
21.000,0.88621670,-1.0492
22.000,0.87612394,-1.1487
23.000,0.86573499,-1.2523
24.000,0.85506890,-1.3600
25.000,0.84414469,-1.4717
26.000,0.83298119,-1.5873
27.000,0.82159702,-1.7068
28.000,0.81001048,-1.8302
29.000,0.79823953,-1.9573
30.000,0.78630168,-2.0882
31.000,0.77421401,-2.2228
32.000,0.76199307,-2.3610
33.000,0.74965493,-2.5028
34.000,0.73721505,-2.6481
35.000,0.72468838,-2.7970
36.000,0.71208927,-2.9493
37.000,0.69943154,-3.1051
38.000,0.68672844,-3.2643
39.000,0.67399267,-3.4269
40.000,0.66123644,-3.5929
