baia,w_real,w_imag,amp,p_frac,phase_deg,att_db_ref,delta_len_m
0,0.4443665442446382,0.0,0.4443665442446382,0.19746162564392192,0.0,-0.0,0.0
1,0.7600726937413477,0.0,0.7600726937413477,0.5777104997712283,0.0,-4.662275527148897,0.0
2,0.16810511878905848,0.0,0.16810511878905848,0.028259330963083456,0.0,8.44320832357867,0.0
3,0.44336051202352955,0.0,0.44336051202352955,0.19656854362176623,0.0,0.019686881286394092,0.0
